date,reporting_source,total_cases,confirmed,probable,suspected,inconclusive,deaths,notes,source_id
2026-05-04,WHO DON599,7,2,0,5,0,3,1 critically ill + 3 mild among total; onset range 2026-04-06 to 2026-04-28,S01
2026-05-08,WHO DON600,8,6,2,0,0,3,All six confirmed identified as Andes virus; 147 onboard + 34 previously disembarked,S02
2026-05-11,WHO via Reuters,9,7,2,,,3,WHO spokesperson reported seven confirmed and nine total after France update,S07
2026-05-12,WHO DG remarks,11,9,2,0,0,3,All eleven cases among passengers or crew; active monitoring through 2026-06-21,S06
2026-05-13,ECDC daily update,11,8,2,0,1,3,"ECDC classification: 8 confirmed, 2 probable, 1 inconclusive; no new cases/deaths since previous update",S03
